"101257490 SK LTD",,-0.6,0,0,0,-0.6
"LOVELEEN GHOTRA INC",7802433344,-0.64,0,0,0,-0.64
"2463866 AB LTD",7804059984,-1.05,0,0,-1.05,0
"1962407 ALBERTA LTD",7807292585,-1.45,0,0,0,-1.45
"TS SETHI TRANSPORT INC",7809667507,-2.3,0,0,109,-111.3
"HASHIR ENTERPRISES",7809651155,-3.1,0,0,0,-3.1
"AKD TRANSPORT LTD",7806809693,-3.41,0,0,0,-3.41
"2028121 AB LTD",7802353554,-3.77,57.42,0,36.52,-97.71
"1915486 AB LTD",7808023391,-3.94,0,0,0,-3.94
"NEVER DULL SERVICES LTD",7809137260,-5.05,0,-5.05,0,0
"SBA TRANSPORT LTD.",7806560000,-5.13,0,0,0,-5.13
NASIB,4169840446,-5.25,22.05,-27.3,0,0
"JG GILL TRUCKING LTD",7802579300,-6.56,0,-6.56,0,0
"ISE DIESEL PERFORMANCE",7808027254,-7.31,0,-7.31,0,0
"CONNECT TRANSPORT",7802456013,-7.46,29.3,0,0,-36.75
"1818986 AB LTD",7802314649,-7.53,0,0,44.06,-51.59
"1618787 AB LTD",,-9.39,0,0,0,-9.39
"G JODHAN TRUCKING LTD",7806606613,-10.49,0,-10.49,0,0
"SKYVIEW TRANSPORT LTD",6394713646,-12.85,0,0,0,-12.85
"MAJESTY LOGISTICS LTD",5877222222,-15.21,0,0,0,-15.21
"ELITE TRUCK REPAIR LTD",7808622662,-15.54,0,-15.54,0,0
"A SIVIA TRUCKING LTD",5873066100,-15.74,0,0,0,-15.74
"AB & A TRUCKING INC",4313371602,-16.07,0,48.29,9.14,-73.49
"ADVANCE TRUCKLINES",7802572757,-16.63,0,-16.63,0,0
"2018046 ALBERTA INC",7802631515,-17.2,0,0,-17.2,0
"2324456 AB LTD.",7809013848,-17.33,0,0,-17.33,0
"JUST DO IT TRUCKING",,-17.96,0,0,0,-17.96
"MCN TRANSPORT",7802394534,-18.28,1.14,-19.43,0,0
"PRO LIMIT TRANSPORT LTD",3062918476,-23.42,0,0,0,-23.42
"RIVAL TOWING",7809015790,-24.73,0,0,0,-24.73
"SHIVDEV TRUCKING LTD",3068300253,-26.25,0,0,0,-26.25
"JASKARAN DHILLON TRUCKING LTD",6393181990,-26.79,0,0,0,-26.79
"PHOBOS TRANSPORT INC",4188580858,-30.44,0,0,0,-30.44
"GOLDING TRUCKING INC",8259951103,-30.56,0,-30.56,0,0
"BATH HOLDING",7806679135,-32.33,0,0,0,-32.33
"MID NIGHT EXPRESS HAULING INC",5879372285,-34.13,-34.13,0,0,0
"UGO NORBITO TRUCKING",7802007408,-36.74,0,0,0,-36.74
"KDD TRUCKING INC",0000000,-36.86,0,0,0,-36.86
"1936373 ALBERTA LTD",7809321111,-38.64,0,0,0,-38.64
"ASR TRUCKING LTD",3064700103,-41.38,200.86,0,266.52,-508.76
"SAENZ TRUCKING PRODUCTIONS",5879905402,-41.6,0,0,0,-41.6   
"DPM TRANSPORT LTD",7802713187,-51.29,0,0,0,-51.29
"APPYPRO INVESTMENT INC.",3062168880,-51.43,0,0,0,-51.43
"2330338 AB LTD.",7809954992,-51.51,0,0,0,-51.51
"GURNOOR TRUCKING LTD",7809526320,-56.09,-56.09,0,0,0
"HV TRUCKING LTD",7802652731,-64.07,0,0,0,-64.07
"ALTA LOGISTIC INC",7809459559,-66.1,0,0,0,-66.1
"AIMED EXPRESS",7802656541,-73.49,-73.49,0,0,0
"Z27 ENTERPRISE INC",4315565656,-79.53,-79.53,0,0,0
"PTI ENTERPRISES LTD",7802395660,-80.33,0,0,0,-80.33
"1616047 AB LTD",7809357349,-83.98,0,0,0,-83.98
"SHERWOOD TRUCK WASH AND LUBE",,-92.41,0,0,0,-92.41
"888 CONSTRUCTION LTD",7805312213,-103.48,0,0,-103.48,0
"PRODASH TRANSPORT LTD",7805810724,-120.75,0,0,-120.75,0
"JOBAN TRUCKING LTD",7802576513,-120.82,-120.82,0,0,0
"FTA ENTERPRISES",7802312189,-122.03,-122.03,0,0,0
"BLACKE TRANSPORT INC",2052220222,-130.15,-130.15,0,0,0
"2105108 AB TD",7802451484,-150.5,423.21,-573.71,0,0
"COUNT ON TRUCKING INC.",7807170338,-161.9,-161.9,0,0,0
"CITY SOIL SERVICES",7802892287,-171.13,378,0,0,-549.13
"2459474 AB LTD",7802780050,-173.25,0,0,0,-173.25
"FH TRUCKING LTD",3062409019,-185.85,0,0,0,-185.85
"OTAL TRUCKING INC",7806606825,-206.33,34.13,0,0,-240.45
"SURAJ TRANSPORT LTD",7808633555,-239.55,0,54.56,0,-294.11
"2228680 AB LTD",3068801567,-242.31,0,0,0,-242.31
"S RAI TRUCKING",78023986858,-260.18,0,0,0,-260.18
"RANU TRANSPORT LTD",3066402600,-270.21,0,0,0,-270.21
"SHY TRANSPORT LTD",7802922602,-453.44,0,0,0,-453.44
"KELEF TRUCKING INC",7788553637,-498.75,0,0,0,-498.75
"NAUNIHAL TRUCKING LTD",7802350920,-522.99,0,-522.99,0,0
"DHANOA BROS TRANSPORT INC",3066543000,-573.3,-573.3,0,0,0
"GSP TRANSPORT LTD",5877127000,-583.97,0,0,-583.97,0
"NILE CARRIER LTD",7807085045,-677.25,0,-677.25,0,0
"JIRRU TRANSPORT LTD",7803402091,-766.5,0,-766.5,0,0
"ADAN ENETRPRISE LTD",6147870710,-907.2,0,0,0,-907.2
"SURSINGHIA TRANSPORT LTD",3069147331,-998.9,0,0,551.17,-1550.06
"COTTONWOOD CREEK",7806956964,-4807.87,0,0,-4807.87,0
"**** TOTAL AMOUNTS ****",,2307134.73,350221.86,115618.3,56923.57,1784370.99
